hidden_layers,hidden_width,depth_width_ratio,param_count,param_error,train_sample_budget,aofe,log10_aofe,aofe_ratio,aofe_total_energy,benign_score,steps,planned_steps,samples_per_step,effective_train_samples,final_train_loss,final_val_loss,best_val_loss
2,1696,0.0011792452830188679,2990049,-9951,59800980,0.2368207573890686,-0.6255802342783228,0.8151922225952148,0.29050910472869873,81519222.25952148,29200.0,29200.0,2048.0,59801600.0,0.026159457862377167,0.026210097318649293,0.026210097318649293
3,1208,0.0024834437086092716,3000673,673,60013460,0.24122250080108643,-0.6175821844341252,0.8126252293586731,0.2968434691429138,81262522.93586731,29304.0,29304.0,2048.0,60014592.0,0.023185789585113525,0.02239409633255005,0.022392105370521546
4,992,0.004032258064516129,3020641,20641,60412820,0.2414097785949707,-0.6172451422592797,0.8137988448143005,0.29664552211761475,81379884.48143005,29499.0,29499.0,2048.0,60413952.0,0.02275872230529785,0.025479117702484132,0.025467602494239808
5,856,0.005841121495327103,2990865,-9135,59817300,0.24391135573387146,-0.6127679798512808,0.8169911503791809,0.2985483407974243,81699115.03791809,29208.0,29208.0,2048.0,59817984.0,0.028036722913384438,0.030067148147583007,0.029944218638420107
6,768,0.0078125,3003649,3649,60072980,0.2396489381790161,-0.6204244909117747,0.8194189071655273,0.2924620509147644,81941890.71655273,29333.0,29333.0,2048.0,60073984.0,0.03119337558746338,0.03339441815185547,0.033341129249572755
7,704,0.009943181818181818,3024385,24385,60487700,0.2428460419178009,-0.6146689705819949,0.8225640058517456,0.29523056745529175,82256400.58517456,29536.0,29536.0,2048.0,60489728.0,0.03584123030304909,0.03589958159828186,0.03589958159828186
8,648,0.012345679012345678,2986633,-13367,59732660,0.2457125186920166,-0.6095727162901159,0.822773814201355,0.2986392080783844,82277381.4201355,29167.0,29167.0,2048.0,59734016.0,0.03792145103216171,0.03887588577461243,0.03887588577461243
9,608,0.014802631578947368,3002305,2305,60046100,0.23992189764976501,-0.6199301122053387,0.8252677917480469,0.29072004556655884,82526779.17480469,29320.0,29320.0,2048.0,60047360.0,0.039865437895059586,0.040794054357528683,0.040794054357528683
10,576,0.017361111111111112,3029185,29185,60583700,0.22954417765140533,-0.6391337185631097,0.8231674432754517,0.2788547873497009,82316744.32754517,29582.0,29582.0,2048.0,60583936.0,0.04271530359983444,0.04239884217071533,0.04225644720077515
11,544,0.02022058823529412,3000705,705,60014100,0.23597510159015656,-0.6271338182690934,0.8245916962623596,0.2861720621585846,82459169.62623596,29304.0,29304.0,2048.0,60014592.0,0.0442894883453846,0.04491316164779663,0.04476811932373047
12,520,0.023076923076923078,3014441,14441,60288820,0.24510756134986877,-0.6106432909434697,0.8272014260292053,0.2963094115257263,82720142.60292053,29438.0,29438.0,2048.0,60289024.0,0.04896531254053116,0.04688811838340759,0.04672565482330322
13,496,0.02620967741935484,2990881,-9119,59817620,0.2467423379421234,-0.6077563245392614,0.8290568590164185,0.2976181209087372,82905685.90164185,29208.0,29208.0,2048.0,59817984.0,0.04752291738986969,0.048100602264404296,0.04794316187858581
14,480,0.029166666666666667,3033121,33121,60662420,0.23665891587734222,-0.6258771292970176,0.8286051154136658,0.28561121225357056,82860511.54136658,29621.0,29621.0,2048.0,60663808.0,0.05023068189620972,0.04924173851013183,0.04924173851013183
15,464,0.032327586206896554,3051265,51265,61025300,0.2288433015346527,-0.6404617952712602,0.8297208547592163,0.27580758929252625,82972085.47592163,29798.0,29798.0,2048.0,61026304.0,0.05159468203783035,0.04997077983856201,0.049784142612457276
16,448,0.03571428571428571,3046849,46849,60936980,0.24478447437286377,-0.6112161310853771,0.8294644355773926,0.2951114773750305,82946443.55773926,29755.0,29755.0,2048.0,60938240.0,0.05104949325323105,0.05095763426971436,0.05095763426971436
17,432,0.03935185185185185,3021409,21409,60428180,0.23850463330745697,-0.6225031797252668,0.8315780162811279,0.28680968284606934,83157801.6281128,29506.0,29506.0,2048.0,60428288.0,0.05230432748794556,0.0530388288269043,0.0530047829246521
18,416,0.04326923076923077,2976481,-23519,59529620,0.2348792999982834,-0.629155256073185,0.8299246430397034,0.2830128073692322,82992464.30397034,29068.0,29068.0,2048.0,59531264.0,0.05562330782413483,0.055110787157058715,0.055110787157058715
19,408,0.04656862745098039,3030625,30625,60612500,0.2279053032398224,-0.6422455688916118,0.8313362002372742,0.27414336800575256,83133620.02372742,29596.0,29596.0,2048.0,60612608.0,0.05390997231006622,0.055409391906738284,0.0552980087890625
20,392,0.05102040816326531,2952937,-47063,59058740,0.239179328083992,-0.6212763584921807,0.8326820731163025,0.287239670753479,83268207.31163025,28838.0,28838.0,2048.0,59060224.0,0.05610411986708641,0.057296021942138675,0.057296021942138675
