target_params,teacher_type,depth,d_model,n_heads,d_ff,aspect_ratio,active_params,pad_params,total_params,padding_ratio,train_mse,val_mse,test_mse,steps_run,base_steps,agop_offdiag_energy,agop_offdiag_ratio
300000,gpt,1,148,37,592,0.006756756756756757,285408,14592,300000,0.04864,0.000480343103189342,0.00044760663612661034,0.00047870754497125745,551,367,0.5290633440027701,0.3402405070893799
300000,gpt,2,108,27,432,0.018518518518518517,296848,3152,300000,0.010506666666666666,0.0006187074261722587,0.0005815551716791974,0.0006150969579307871,551,367,0.821505904198693,0.41246022584370645
300000,gpt,3,88,22,352,0.03409090909090909,292928,7072,300000,0.023573333333333335,0.0006936613713324966,0.0006482980203476142,0.0006886206260374324,551,367,1.2663474082956778,0.4658788820128348
300000,gpt,4,76,19,304,0.05263157894736842,289776,10224,300000,0.03408,0.0008207958005877629,0.0007961418278600005,0.0008151375646279616,551,367,1.9592931270609366,0.5291541263177291
300000,gpt,5,68,17,272,0.07352941176470588,288928,11072,300000,0.036906666666666664,0.000848354890216091,0.0007821564001708546,0.0008487605637955395,551,367,1.9309229850779044,0.5532106269681828
300000,gpt,6,60,15,240,0.1,269584,30416,300000,0.10138666666666667,0.001160310584825306,0.0011057549590160224,0.0011643489230085504,551,367,2.619611978531884,0.611277908617138
300000,gpt,8,52,13,208,0.15384615384615385,269008,30992,300000,0.10330666666666667,0.0015739516324562127,0.0014805810589512641,0.0015791547696360133,551,367,4.898133754731225,0.6679555903632961
300000,gpt,10,48,12,192,0.20833333333333334,285568,14432,300000,0.048106666666666666,0.0014562345131509046,0.0013523245632479136,0.001463136381723664,551,367,4.172290325165795,0.6677986265824916
300000,gpt,12,44,11,176,0.2727272727272727,287472,12528,300000,0.04176,0.001626302654819329,0.001534832620315931,0.0016354237344454634,551,367,6.337583541871117,0.7086359811077309
300000,gpt,16,36,9,144,0.4444444444444444,256528,43472,300000,0.14490666666666666,0.0028463151557829047,0.0026805146427994423,0.0028682652522217145,551,367,3.657326340676354,0.7644042187708225
300000,gpt,20,32,8,128,0.625,253120,46880,300000,0.15626666666666666,0.00493791920916671,0.004653585312718695,0.004986748395656998,551,367,5.068521618844079,0.793168957447006
1000000,gpt,1,280,70,1120,0.0035714285714285713,983424,16576,1000000,0.016576,0.00010799841028394857,0.00010520147109425373,0.00010743564052972943,1832,1221,0.18639326095681052,0.19976789270179407
1000000,gpt,2,200,50,800,0.01,991264,8736,1000000,0.008736,0.00012227285313529734,0.00011896542061797597,0.0001212258456772278,1832,1221,0.31856828928093783,0.2734300467437672
1000000,gpt,3,164,41,656,0.018292682926829267,994560,5440,1000000,0.00544,0.00012698754978716396,0.00012377942766761407,0.00012572002411946994,1832,1221,0.6427214145670401,0.3205378696344069
1000000,gpt,4,140,35,560,0.02857142857142857,963824,36176,1000000,0.036176,0.00013584736731050339,0.00013199306241321293,0.0001353645070180805,1832,1221,0.49433737993340365,0.354780161001499
1000000,gpt,5,124,31,496,0.04032258064516129,943456,56544,1000000,0.056544,0.00013725885483970653,0.0001325771141141145,0.00013573835233480415,1832,1221,0.7223806381235587,0.3943203719302566
1000000,gpt,6,116,29,464,0.05172413793103448,988848,11152,1000000,0.011152,0.0001337483923664683,0.0001295474066864699,0.00013343932435170493,1832,1221,0.9572192430506217,0.41985561722495873
1000000,gpt,8,100,25,400,0.08,978064,21936,1000000,0.021936,0.00014378253730027327,0.00013995219408322802,0.00014245181095744059,1832,1221,1.1714348793039786,0.4769658035403781
1000000,gpt,10,88,22,352,0.11363636363636363,945888,54112,1000000,0.054112,0.0001488304023414308,0.00014430357788858765,0.00014807345790111205,1832,1221,1.0640331506739127,0.5140286534722571
1000000,gpt,12,80,20,320,0.15,937344,62656,1000000,0.062656,0.0001612650065684737,0.0001575443787838925,0.00015936493582557887,1832,1221,1.423482656479882,0.5459366187023551
1000000,gpt,16,68,17,272,0.23529411764705882,902288,97712,1000000,0.097712,0.00017968684181544287,0.00017498657027979127,0.00017760101234836674,1832,1221,1.8526589870462882,0.6302385957742117
1000000,gpt,20,64,16,256,0.3125,997696,2304,1000000,0.002304,0.0002160726008592288,0.00020660704996606165,0.00021732997265644372,1832,1221,0.9274265170107352,0.6453706098632342
1000000,gpt,24,56,14,224,0.42857142857142855,916896,83104,1000000,0.083104,0.00021957951506263896,0.00021286610651507297,0.00022007612278684974,1832,1221,1.4307165741930472,0.7201563199240457
3000000,gpt,1,492,123,1968,0.0020325203252032522,2979616,20384,3000000,0.006794666666666667,1.4680787026138205e-05,1.4610483379907567e-05,1.4653962104851168e-05,5495,3663,0.08316475153069358,0.11934991912864529
3000000,gpt,2,348,87,1392,0.005747126436781609,2960848,39152,3000000,0.013050666666666667,1.6248680472481874e-05,1.593476355827244e-05,1.61790326687465e-05,5495,3663,0.10306251049141746,0.15838284986339204
3000000,gpt,3,284,71,1136,0.01056338028169014,2949120,50880,3000000,0.01696,1.7950465539233956e-05,1.7605381303424522e-05,1.7902689333740536e-05,5495,3663,0.09814387559990745,0.18781060224111823
3000000,gpt,4,248,62,992,0.016129032258064516,2992928,7072,3000000,0.0023573333333333332,1.939024684859567e-05,1.9141263692290522e-05,1.920711193551225e-05,5495,3663,0.11699086427788596,0.20654080267505043
3000000,gpt,5,220,55,880,0.022727272727272728,2941024,58976,3000000,0.019658666666666668,2.1127731475144696e-05,2.079258129842029e-05,2.0954759417112324e-05,5495,3663,0.13144382834534507,0.2457690662153359
3000000,gpt,6,200,50,800,0.03,2914464,85536,3000000,0.028512,2.34576132508837e-05,2.300220628306058e-05,2.334224088620183e-05,5495,3663,0.1619535684595571,0.2643839079357831
3000000,gpt,8,172,43,688,0.046511627906976744,2871088,128912,3000000,0.042970666666666664,2.598643859110993e-05,2.5718181032888506e-05,2.5887574917181734e-05,5495,3663,0.17502182722191673,0.30756873368337634
3000000,gpt,10,156,39,624,0.0641025641025641,2949712,50288,3000000,0.016762666666666665,2.8727605780851095e-05,2.8241678757529538e-05,2.8565127980651926e-05,5495,3663,0.1774610877047048,0.3496374803310368
3000000,gpt,12,140,35,560,0.08571428571428572,2849904,150096,3000000,0.050032,3.1897059586439864e-05,3.1413180047159337e-05,3.199890786411495e-05,5495,3663,0.203547328711556,0.39798284864985406
3000000,gpt,16,124,31,496,0.12903225806451613,2978544,21456,3000000,0.007152,3.577294730590912e-05,3.5312129925428465e-05,3.577287167321298e-05,5495,3663,0.16327685117821555,0.4436337424089064
3000000,gpt,20,108,27,432,0.18518518518518517,2824048,175952,3000000,0.05865066666666666,4.409600105104525e-05,4.359575409167023e-05,4.399788800087249e-05,5495,3663,0.26734223961930137,0.5567719144938786
3000000,gpt,24,100,25,400,0.24,2904464,95536,3000000,0.03184533333333334,4.72900083256506e-05,4.6803637153723024e-05,4.73876551206393e-05,5495,3663,0.2418156415234075,0.5933499141062518
