n_layer,n_embd,n_head,head_dim,param_count,param_error,train_token_budget,aofe,aofe_ratio,agop_mean_cos2,steps,planned_steps,base_steps,lr_horizon_steps,tokens_per_step,effective_train_tokens,final_train_loss,final_val_loss,best_val_loss,stopped_fit_patience
2,344,8,43,3025824,25824,60000000,206330.609375,0.974422812461853,0.2635706961154938,10988.0,7325.0,7325.0,10988.0,8192.0,90013696.0,1.259232759475708,1.2324126410484313,1.2258814191818237,0.0
3,280,4,70,2977240,-22760,60000000,635240.9375,0.9730632901191711,0.5520439743995667,10988.0,7325.0,7325.0,10988.0,8192.0,90013696.0,1.332732915878296,1.2556535983085633,1.2532364988327027,0.0
4,248,4,62,3092560,92560,60000000,3074.005126953125,0.9039284586906433,0.07341276109218597,10988.0,7325.0,7325.0,10988.0,8192.0,90013696.0,1.2412693500518799,1.2425649785995483,1.2442277669906616,0.0
5,216,3,72,2924424,-75576,60000000,2468.3779296875,0.9020884037017822,0.059574976563453674,10988.0,7325.0,7325.0,10988.0,8192.0,90013696.0,1.1831769943237305,1.2325942611694336,1.2302515292167664,0.0
6,200,4,50,2998400,-1600,60000000,2473.3388671875,0.9035207629203796,0.06463228166103363,10988.0,7325.0,7325.0,10988.0,8192.0,90013696.0,1.2322851419448853,1.2352549815177918,1.2359442973136903,0.0
7,184,4,46,2955224,-44776,60000000,1478.558837890625,0.8650719523429871,0.0493946447968483,10988.0,7325.0,7325.0,10988.0,8192.0,90013696.0,1.3150575160980225,1.2414145112037658,1.2368679666519165,0.0
8,176,4,44,3082464,82464,60000000,1032.172607421875,0.8589718341827393,0.040219053626060486,10988.0,7325.0,7325.0,10988.0,8192.0,90013696.0,1.237126350402832,1.2534441781044006,1.2485275506973266,0.0
9,160,2,80,2865760,-134240,60000000,879.5812377929688,0.8382446765899658,0.0386994443833828,10988.0,7325.0,7325.0,10988.0,8192.0,90013696.0,1.2960091829299927,1.257034776210785,1.2536171078681946,0.0
10,152,2,76,2870368,-129632,60000000,1464.88427734375,0.8552373051643372,0.04642517492175102,10988.0,7325.0,7325.0,10988.0,8192.0,90013696.0,1.3059263229370117,1.2573812913894653,1.2565654444694518,0.0
11,152,2,76,3149592,149592,60000000,1234.1461181640625,0.8522720336914062,0.04311469569802284,10988.0,7325.0,7325.0,10988.0,8192.0,90013696.0,1.270172357559204,1.2514128160476685,1.2438247323036193,0.0
12,144,2,72,3082464,82464,60000000,1176.787841796875,0.843259334564209,0.0419018529355526,10988.0,7325.0,7325.0,10988.0,8192.0,90013696.0,1.289908528327942,1.2576936149597169,1.2531576347351074,0.0
13,136,2,68,2978264,-21736,60000000,580.9732055664062,0.79399174451828,0.03235950693488121,10988.0,7325.0,7325.0,10988.0,8192.0,90013696.0,1.2912323474884033,1.2645170974731446,1.2653053498268128,0.0
14,128,2,64,2841600,-158400,60000000,925.447998046875,0.7977595925331116,0.03553019464015961,10988.0,7325.0,7325.0,10988.0,8192.0,90013696.0,1.2920429706573486,1.2644295859336854,1.264707953929901,0.0
15,128,2,64,3039872,39872,60000000,990.6181030273438,0.8037102222442627,0.039745934307575226,10988.0,7325.0,7325.0,10988.0,8192.0,90013696.0,1.290303111076355,1.2767068886756896,1.2620626974105835,0.0
16,120,2,60,2851440,-148560,60000000,955.1199951171875,0.7822948694229126,0.03542156144976616,10988.0,7325.0,7325.0,10988.0,8192.0,90013696.0,1.2973062992095947,1.2786544013023375,1.278342752456665,0.0
